Ref,Val,Package,PosX,PosY,Rot,Side
"C5","0.1uF","C_0603_1608Metric",3.898900,92.367100,180.000000,bottom
"C6","10uF","C_0805_2012Metric",49.999900,65.443100,0.000000,bottom
"C8","10nF","C_0603_1608Metric",63.207900,48.044100,270.000000,bottom
"C10","0.1uF","C_0603_1608Metric",49.237900,39.789100,270.000000,bottom
"C11","0.1uF","C_0603_1608Metric",53.809900,47.282100,90.000000,bottom
"C12","1uF","C_0603_1608Metric",37.820900,42.900600,180.000000,bottom
"C13","1uF","C_0603_1608Metric",43.903900,40.995600,270.000000,bottom
"C14","10uF","C_0805_2012Metric",38.061900,41.186100,0.000000,bottom
"C15","1uF","C_0603_1608Metric",42.379900,40.995600,270.000000,bottom
"C16","10uF","C_0805_2012Metric",51.079400,39.789100,270.000000,bottom
"C32","3.3nF","C_0603_1608Metric",78.193900,82.461100,0.000000,bottom
"C33","1uF","C_0603_1608Metric",49.695100,83.959700,180.000000,bottom
"C35","10uF","C_0805_2012Metric",50.330100,81.127600,90.000000,bottom
"C40","10nF","C_0603_1608Metric",57.746900,48.044100,270.000000,bottom
"C41","10nF","C_0603_1608Metric",67.525900,50.965100,270.000000,bottom
"C42","10nF","C_0603_1608Metric",71.335900,50.965100,270.000000,bottom
"C46","10uF","C_0805_2012Metric",67.081400,2.197100,90.000000,bottom
"C204","0.1uF","C_0402_1005Metric",86.738300,94.234000,270.000000,bottom
"C205","1nF","C_0402_1005Metric",87.728900,94.234000,270.000000,bottom
"C217","0.1uF","C_0603_1608Metric",27.012900,82.461100,90.000000,bottom
"C218","0.1uF","C_0603_1608Metric",50.952400,51.346100,180.000000,bottom
"C219","0.1uF","C_0603_1608Metric",50.711100,54.444900,0.000000,bottom
"C234","0.1uF","C_0603_1608Metric",43.141900,58.648600,0.000000,bottom
"C245","10uF","C_1210_3225Metric",85.559900,55.791100,270.000000,bottom
"C246","10uF","C_1210_3225Metric",81.495900,42.075100,0.000000,bottom
"C247","10uF","C_1210_3225Metric",81.495900,38.773100,0.000000,bottom
"C249","100uF","C_1210_3225Metric",84.162900,60.617100,180.000000,bottom
"C251","0.1uF","C_0603_1608Metric",36.537900,56.172100,90.000000,bottom
"C252","0.1uF","C_0603_1608Metric",34.861500,48.653700,90.000000,bottom
"C253","0.1uF","C_0603_1608Metric",40.855900,40.995600,270.000000,bottom
"L4","1uH","L_2510",50.183900,78.016100,0.000000,bottom
"Q2","MMDT5551-7-F","SOT-363_SC-70-6",49.999900,63.411100,0.000000,bottom
"Q3","MMDT5551-7-F","SOT-363_SC-70-6",49.999900,70.269100,0.000000,bottom
"Q6","SMMBT2222AWT1G","SOT-323_SC-70",7.835900,83.604100,0.000000,bottom
"Q7","MMDT5551-7-F","SOT-363_SC-70-6",62.445900,54.902100,0.000000,bottom
"Q8","MMDT5551-7-F","SOT-363_SC-70-6",58.508900,54.902100,0.000000,bottom
"Q12","BSS138DWQ-7","BSS138DWQ-7",62.445900,50.965100,0.000000,bottom
"Q13","BSS138DWQ-7","BSS138DWQ-7",58.508900,50.965100,0.000000,bottom
"Q15","MMDT5551-7-F","SOT-363_SC-70-6",66.636900,57.823100,0.000000,bottom
"Q16","MMDT5551-7-F","SOT-363_SC-70-6",70.446900,57.823100,0.000000,bottom
"Q18","BSS138DWQ-7","BSS138DWQ-7",66.636900,53.886100,0.000000,bottom
"Q19","BSS138DWQ-7","BSS138DWQ-7",70.446900,53.886100,0.000000,bottom
"Q20","IRF7404TRPBF","SOIC-8_3.9x4.9mm_P1.27mm",8.216900,72.428100,270.000000,bottom
"Q21","IRF7404TRPBF","SOIC-8_3.9x4.9mm_P1.27mm",14.185900,72.428100,270.000000,bottom
"Q22","IRF7404TRPBF","SOIC-8_3.9x4.9mm_P1.27mm",35.267900,16.294100,90.000000,bottom
"Q200","BC847BM3T5G","SOT-723",8.519000,98.780600,0.000000,bottom
"Q201","BC847BM3T5G","SOT-723",12.303600,98.780600,0.000000,bottom
"Q203","BC847BM3T5G","SOT-723",16.012000,98.780600,0.000000,bottom
"Q204","MMBT3906-7-F","SOT-23",66.509900,84.874100,90.000000,bottom
"Q206","IRF7458","SOIC-8_3.9x4.9mm_P1.27mm",60.083700,73.177400,90.000000,bottom
"Q208","IRF7458","SOIC-8_3.9x4.9mm_P1.27mm",68.859400,89.636600,0.000000,bottom
"Q209","MMBT3906-7-F","SOT-23",80.416400,69.253100,90.000000,bottom
"Q210","MMBT4401-7-F","SOT-23",72.723500,80.591700,180.000000,bottom
"Q213","IRF7404","SOIC-8_3.9x4.9mm_P1.27mm",73.444100,74.231500,270.000000,bottom
"Q221","MMBT4401-7-F","SOT-23",85.496400,68.935600,270.000000,bottom
"R1","316K","R_0603_1608Metric",69.684900,47.917100,270.000000,bottom
"R2","110K","R_0603_1608Metric",67.525900,47.917100,270.000000,bottom
"R7","10k","R_0603_1608Metric",55.333900,37.020500,90.000000,bottom
"R21","10K","R_0603_1608Metric",24.317000,13.579004,0.000000,bottom
"R22","4.7K","R_0603_1608Metric",24.317000,11.420004,0.000000,bottom
"R23","3.3K","R_0603_1608Metric",31.584900,13.246100,270.000000,bottom
"R24","10K","R_0603_1608Metric",35.458400,21.628100,180.000000,bottom
"R25","10k","R_0603_1608Metric",4.432300,83.553300,90.000000,bottom
"R27","10k","R_0603_1608Metric",15.379700,86.372700,0.000000,bottom
"R28","10k","R_0603_1608Metric",15.379700,84.721700,180.000000,bottom
"R29","73.2K","R_0603_1608Metric",49.999900,59.982100,0.000000,bottom
"R30","100K","R_0603_1608Metric",49.999900,67.094100,180.000000,bottom
"R32","4.7k","R_0603_1608Metric",11.569700,86.372700,0.000000,bottom
"R33","4.7k","R_0603_1608Metric",15.405100,83.096100,0.000000,bottom
"R34","5.23K","R_0603_1608Metric",62.699900,82.017100,90.000000,bottom
"R35","30.1K","R_0603_1608Metric",61.175900,82.017100,90.000000,bottom
"R36","3.16K","R_0603_1608Metric",58.127900,82.017100,90.000000,bottom
"R37","100k","R_0603_1608Metric",9.156700,77.457300,180.000000,bottom
"R38","100k","R_0603_1608Metric",15.392900,77.406500,180.000000,bottom
"R46","10K","R_0603_1608Metric",59.651900,82.017100,90.000000,bottom
"R47","200K","R_0603_1608Metric",49.999900,61.506100,0.000000,bottom
"R49","100K","R_0603_1608Metric",49.999900,73.698100,180.000000,bottom
"R52","10K","R_0603_1608Metric",49.999900,72.174100,0.000000,bottom
"R71","680","R_0603_1608Metric",62.445900,56.934100,0.000000,bottom
"R72","680","R_0603_1608Metric",58.508900,56.934100,0.000000,bottom
"R75","200K","R_0603_1608Metric",61.683900,48.044100,90.000000,bottom
"R76","200K","R_0603_1608Metric",59.270900,48.044100,90.000000,bottom
"R82","10K","R_0603_1608Metric",66.636900,61.506100,0.000000,bottom
"R83","10K","R_0603_1608Metric",70.446900,61.506100,0.000000,bottom
"R86","680","R_0603_1608Metric",66.636900,59.982100,0.000000,bottom
"R87","680","R_0603_1608Metric",70.446900,59.982100,0.000000,bottom
"R95","200K","R_0603_1608Metric",65.747900,50.965100,90.000000,bottom
