Ref,Val,Package,PosX,PosY,Rot,Side
"C1","8pF","C_0603_1608Metric",46.665986,33.489922,225.000000,top
"C2","8pF","C_0603_1608Metric",49.539668,36.363604,45.000000,top
"C3","0.1uF","C_0603_1608Metric",67.525900,48.084904,90.000000,top
"C4","1uF","C_0603_1608Metric",55.924886,32.083408,270.000000,top
"C17","22uF","C_0805_2012Metric",51.304500,63.284100,0.000000,top
"C18","22uF","C_0805_2012Metric",51.396900,60.744100,0.000000,top
"C19","100uF","C_1210_3225Metric",63.433000,68.062004,90.000000,top
"C20","100uF","C_1210_3225Metric",67.589400,68.046600,90.000000,top
"C21","0.1uF","C_0603_1608Metric",59.842400,62.458600,90.000000,top
"C26","3.3nF","C_0603_1608Metric",57.175400,73.317100,180.000000,top
"C27","1uF","C_0603_1608Metric",58.381900,75.095100,180.000000,top
"C30","0.1uF","C_0603_1608Metric",66.509900,42.916004,270.000000,top
"C34","4.7uF","C_0805_2012Metric",54.825900,81.762600,180.000000,top
"C36","47nF","C_0603_1608Metric",54.825900,80.048100,0.000000,top
"C37","22uF","C_0805_2012Metric",50.507900,78.460600,0.000000,top
"C38","22uF","C_0805_2012Metric",50.507900,76.492100,0.000000,top
"C39","10uF","C_0805_2012Metric",54.317900,75.095100,0.000000,top
"C44","10uF","C_0805_2012Metric",22.311400,4.737100,0.000000,top
"C200","10uF","C_0805_2012Metric",82.892900,97.576600,270.000000,top
"C201","0.1uF","C_0402_1005Metric",81.417000,98.044000,270.000000,top
"C202","0.1uF","C_0402_1005Metric",76.438600,98.044000,270.000000,top
"C203","47uF","C_1206_3216Metric",74.813000,97.028000,270.000000,top
"C206","0.1uF","C_0402_1005Metric",8.851900,85.826600,90.000000,top
"C207","0.1uF","C_0402_1005Metric",87.591900,90.462100,90.000000,top
"C208","0.1uF","C_0402_1005Metric",80.134400,5.054600,0.000000,top
"C209","0.1uF","C_0402_1005Metric",9.867900,5.054600,180.000000,top
"C210","10uF","C_0805_2012Metric",67.106800,15.989300,0.000000,top
"C211","10uF","C_0805_2012Metric",67.106800,18.148300,0.000000,top
"C212","10uF","C_0805_2012Metric",67.106800,20.307300,0.000000,top
"C213","22uF","C_0805_2012Metric",58.343800,16.497300,180.000000,top
"C214","22uF","C_0805_2012Metric",58.343800,18.656300,180.000000,top
"C215","22uF","C_0805_2012Metric",58.343800,20.815300,180.000000,top
"C216","0.1uF","C_0603_1608Metric",62.026800,19.799300,0.000000,top
"C220","10nF","C_0603_1608Metric",17.551400,69.062600,270.000000,top
"C221","1uF","C_0603_1608Metric",25.234900,72.949100,90.000000,top
"C222","1uF","C_0603_1608Metric",30.949900,65.697100,0.000000,top
"C223","2.2uF","C_0603_1608Metric",18.757900,73.825100,180.000000,top
"C224","0.1uF","C_0603_1608Metric",18.757900,72.174100,180.000000,top
"C225","10uF","C_0805_2012Metric",27.012900,73.190100,90.000000,top
"C226","0.47uF","C_0603_1608Metric",21.945900,72.174100,0.000000,top
"C227","10nF","C_0603_1608Metric",17.220900,59.474100,180.000000,top
"C228","1uF","C_0603_1608Metric",25.234900,62.789100,90.000000,top
"C229","1uF","C_0603_1608Metric",30.949900,56.019700,0.000000,top
"C230","2.2uF","C_0603_1608Metric",18.757900,63.665100,180.000000,top
"C231","0.1uF","C_0603_1608Metric",18.744900,62.014100,180.000000,top
"C232","10uF","C_0805_2012Metric",27.012900,63.091100,90.000000,top
"C233","0.47uF","C_0603_1608Metric",21.932900,62.014100,0.000000,top
"C235","10uF","C_0805_2012Metric",51.523900,16.040100,0.000000,top
"C236","10uF","C_0805_2012Metric",51.523900,18.199100,0.000000,top
"C237","10uF","C_0805_2012Metric",51.523900,20.358100,0.000000,top
"C238","22uF","C_0805_2012Metric",42.633900,20.866100,180.000000,top
